Why are backbones of CNN model important ? 	118
What are the names of some CNN architectures ? 	119
What is sampling rate in audio data processing 	120
What is Digital Signal Processing?	121
What is Fourier Transform and Spectral Analysis? 	122
What are the Challenges in Speech Recognition	123
What is Automatic speech recognition ? What is ASR ? 	124, 125 
What is Wav2Vec ? 	126, 127
How does Wav2Vec work? 	127
What is Sequence Data? 	128
What is Sequence Learning?	129
What are some examples of Sequence Learning Approaches?	130
What are some of the Challenges in Sequence Learning 	131
What is vanishing gradient problem?	132
What is the exploding gradient problem ? 	133
How to solve Vanishing Gradient Problems 	134
How to solve Exploding Gradient Problems 	135
What is Long Short-Term Memory models 	136
How do LSTM models work? 	137
How are LSTM models trained? 	138
How are LSTM models optimized ? 	139
What are Bidirectional LSTMs ?	140
what is a Seq2Seq model ? 	141
How do Seq2Seq models work? 	142
What is a context vector 	143
How does the encoder and decoder work ?	144, 141
When was transformer model introduced? 	145
How is transformer model different from RNN and LSTM	146, 147
What are the main features of the transformer model 	147
What is parallelization in a transformer model 	148
What is self attention mechanism in a transformer model	149
How does the transformer architecture work? 	150
What is multi head attention	151
What are examples of some transformer based models 	152
How does positional encoding work in transformer models 	153
What is sentence tokenization 	154
What is byte pair encoding 	155
What is wordpiece encoding 	156
What is sentence piece encoding	157
What is transfer learning 	158, 200
What is model fine tuning ? And how does it work? 	159
What are Multimodal transformers 	160
What are examples of some multimodal transformer model 	161
What are recommendation systems 	162
What are the different types of recommendation systems 	163
What is collaborative filtering ?	164
What is content based filtering ?	165
What is demographic based filtering ?	166
What is context aware systems ?	167
What is a hybrid system in recommendation systems	168
What is surprise in recommendation systems?	169
What is Tensorflow recommenders in the recommendation systems 	170
What is lightFM in recommendation systems 	171
What is TFRS in recommendation systems 	172
What are recommendation engines? 	173
How is data collected for recommendation engines ? 	174
What is matrix factorization in recommendation systems 	175
What is MAP at k in recommendation systems 	176
What is NDCG in recommendation system 	177
What is optimization in ML and deep learning 	178
How to optimize models 	179
What is regularization in ML and DL	180, 181
What are the regularization methods in ML	181
What is L1 regularization ?	182
What is L2 regularization ?	183
What is dropout method in model optimization 	184
What is early stopping in ML model training 	185
What is data augmentation in ML training 	186
What is learning rate scheduling in model training 	187, 188
Why is the learning rate important in model training 	188
What are the different types of learning rate 	189
Why is data augmentation important 	190
What are the different types of data augmentation	191
What are model hyperparameters	192
Why is hyperparameter tuning important ?	193
What are the different methods of hyperparameter tuning ?	194
What are the other methods of model optimization ?	195
How are the parameters chosen for pruning 	196
What are the different types of pruning 	197
What is quantization in model optimization 	198
What are the different types of quantization 	199
How does transfer learning work 	200
What are the different types of transfer learning	201
What is Knowledge Distillation 	202
How does knowledge distillation work 	203
